"Dashboard Title","Panel Title","URL"
"Network QoS Overview","SSH(CS2): Received Packet Throughput (Packets/sec)","http://localhost:3000/d/545b4595-0a4e-4ef8-b02c-41e874b63fa3/network-qos-overview?viewPanel=23"
"Network QoS Overview","SSH(CS2): Transmitted Total Packets - Cumulative","http://localhost:3000/d/545b4595-0a4e-4ef8-b02c-41e874b63fa3/network-qos-overview?viewPanel=24"
"Network QoS Overview","SSH(CS2): Transmitted Packet Throughput (Packets/sec)","http://localhost:3000/d/545b4595-0a4e-4ef8-b02c-41e874b63fa3/network-qos-overview?viewPanel=25"
"Network QoS Overview","","http://localhost:3000/d/545b4595-0a4e-4ef8-b02c-41e874b63fa3/network-qos-overview?viewPanel=26"
"Network QoS Overview","SMTP(CS6): Received Total Packets - Cumulative","http://localhost:3000/d/545b4595-0a4e-4ef8-b02c-41e874b63fa3/network-qos-overview?viewPanel=27"
"Network QoS Overview","SMTP(CS6): Received Packet Throughput (Packets/sec)","http://localhost:3000/d/545b4595-0a4e-4ef8-b02c-41e874b63fa3/network-qos-overview?viewPanel=28"
"Network QoS Overview","SMTP(CS6): Transmitted Total Packets - Cumulative","http://localhost:3000/d/545b4595-0a4e-4ef8-b02c-41e874b63fa3/network-qos-overview?viewPanel=29"
"Network QoS Overview","SMTP(CS6): Transmitted Packet Throughput (Packets/sec)","http://localhost:3000/d/545b4595-0a4e-4ef8-b02c-41e874b63fa3/network-qos-overview?viewPanel=30"
"Network QoS Overview","","http://localhost:3000/d/545b4595-0a4e-4ef8-b02c-41e874b63fa3/network-qos-overview?viewPanel=31"
"Network QoS Overview","FTP(AF11): Received Total Packets - Cumulative","http://localhost:3000/d/545b4595-0a4e-4ef8-b02c-41e874b63fa3/network-qos-overview?viewPanel=32"
"Network QoS Overview","FTP(AF11): Received Packet Throughput (Packets/sec)","http://localhost:3000/d/545b4595-0a4e-4ef8-b02c-41e874b63fa3/network-qos-overview?viewPanel=33"
"Network QoS Overview","FTP(AF11): Transmitted Total Packets - Cumulative","http://localhost:3000/d/545b4595-0a4e-4ef8-b02c-41e874b63fa3/network-qos-overview?viewPanel=34"
"Network QoS Overview","FTP(AF11): Transmitted Packet Throughput (Packets/sec)","http://localhost:3000/d/545b4595-0a4e-4ef8-b02c-41e874b63fa3/network-qos-overview?viewPanel=35"
"Network QoS Overview","","http://localhost:3000/d/545b4595-0a4e-4ef8-b02c-41e874b63fa3/network-qos-overview?viewPanel=36"
"Network QoS Overview","Other: Received Total Packets - Cumulative","http://localhost:3000/d/545b4595-0a4e-4ef8-b02c-41e874b63fa3/network-qos-overview?viewPanel=37"
"Network QoS Overview","Other: Received Packet Throughput (Packets/sec)","http://localhost:3000/d/545b4595-0a4e-4ef8-b02c-41e874b63fa3/network-qos-overview?viewPanel=38"
"Network QoS Overview","Other: Transmitted Total Packets - Cumulative","http://localhost:3000/d/545b4595-0a4e-4ef8-b02c-41e874b63fa3/network-qos-overview?viewPanel=39"
"Network QoS Overview","Other: Transmitted Packet Throughput (Packets/sec)","http://localhost:3000/d/545b4595-0a4e-4ef8-b02c-41e874b63fa3/network-qos-overview?viewPanel=40"
